arm	R	d_model	n_params	n_params_nonembed	n	seeds	eval_len	val_loss_mean	val_loss_sd	val_loss_sem	degradation_mean	degradation_sd	tokens_scored_at_len	final_train_loss_mean	tokens_seen_reported_json	tokens_seen_actual	tokens_per_nonembed_param	wall_seconds_mean
hh1	1	512	77784928	52053344	5	0,1,2,3,4	2048	3.466302	0.082395	0.036848			65536	3.401144	260505600	1042022400	20.02	24455.3
hh1	1	512	77784928	52053344	5	0,1,2,3,4	4096	3.431424	0.030714	0.013736	-0.034877	0.060769	131072	3.401144	260505600	1042022400	20.02	24455.3
hh1	1	512	77784928	52053344	5	0,1,2,3,4	8192	3.444082	0.026806	0.011988	-0.022219	0.060907	262144	3.401144	260505600	1042022400	20.02	24455.3
hh1	1	512	77784928	52053344	5	0,1,2,3,4	16384	3.436628	0.029272	0.013091	-0.029674	0.091109	524288	3.401144	260505600	1042022400	20.02	24455.3
hh4	4	512	96954208	71222624	4	0,1,2,3	2048	3.455714	0.092054	0.046027			65536	3.376250	260505600	1042022400	14.63	42930.2
hh4	4	512	96954208	71222624	4	0,1,2,3	4096	3.413616	0.033926	0.016963	-0.042097	0.070540	131072	3.376250	260505600	1042022400	14.63	42930.2
hh4	4	512	96954208	71222624	4	0,1,2,3	8192	3.423040	0.027198	0.013599	-0.032674	0.070250	262144	3.376250	260505600	1042022400	14.63	42930.2
hh4	4	512	96954208	71222624	4	0,1,2,3	16384	3.410656	0.025824	0.012912	-0.045057	0.100373	524288	3.376250	260505600	1042022400	14.63	42930.2
hh4_r1wide	1	616	102632816	71674504	4	0,1,2,3	2048	3.420004	0.100847	0.050424			65536	3.338492	260505600	1042022400	14.54	26479.4
hh4_r1wide	1	616	102632816	71674504	4	0,1,2,3	4096	3.378742	0.043358	0.021679	-0.041261	0.066514	131072	3.338492	260505600	1042022400	14.54	26479.4
hh4_r1wide	1	616	102632816	71674504	4	0,1,2,3	8192	3.386934	0.044080	0.022040	-0.033070	0.061770	262144	3.338492	260505600	1042022400	14.54	26479.4
hh4_r1wide	1	616	102632816	71674504	4	0,1,2,3	16384	3.374460	0.029922	0.014961	-0.045544	0.094143	524288	3.338492	260505600	1042022400	14.54	26479.4
