task	group_order_G	solvable	chance_pct_uniform	n_seeds	length	empirical_majority_pct	R1_acc_pct	R4_acc_pct	R1_mult_of_chance	R4_mult_of_chance	R1_minus_chance_pp	R4_minus_chance_pp	headroom_at_R1_pp	raw_effect_pp	raw_verdict	error_reduction_pct	er_verdict	MDE_pp	R1_horizon_h_tok	R4_horizon_h_tok	delta_h_tok	regime
parity	2	yes	50.000	8	40	50.483	100.00	100.00	2.00	2.00	50.00	50.00	0.00	+0.00	ns	ceiling	n/a	0.00	40.0	40.0	+0.0	CEILING
parity	2	yes	50.000	8	64	50.815	100.00	100.00	2.00	2.00	50.00	50.00	0.00	-0.00	ns	ceiling	n/a	0.01	64.0	64.0	-0.0	CEILING
parity	2	yes	50.000	8	128	50.401	96.81	94.39	1.94	1.89	46.81	44.39	3.19	-2.42	ns	-113.97	ns	3.68	119.8	113.6	-6.2	CEILING
parity	2	yes	50.000	8	256	50.209	79.85	77.22	1.60	1.54	29.85	27.22	20.15	-2.63	ns	-59.28	ns	7.78	152.9	139.4	-13.5	FLOOR
parity	2	yes	50.000	8	512	50.354	66.88	64.78	1.34	1.30	16.88	14.78	33.12	-2.10	ns	-9.58	ns	5.69	172.9	151.4	-21.5	FLOOR
parity	2	yes	50.000	8	1024	50.147	58.00	57.21	1.16	1.14	8.00	7.21	42.00	-0.79	ns	-2.32	ns	3.15	163.9	147.7	-16.2	FLOOR
parity	2	yes	50.000	8	2048	50.070	54.55	53.39	1.09	1.07	4.55	3.39	45.45	-1.15	ns	-2.61	ns	1.37	186.3	139.0	-47.3	FLOOR
s3_words	6	yes	16.667	5	40	17.544	100.00	100.00	6.00	6.00	83.33	83.33	0.00	+0.00	ns	ceiling	n/a	0.00	40.0	40.0	+0.0	CEILING
s3_words	6	yes	16.667	5	64	17.462	100.00	100.00	6.00	6.00	83.33	83.33	0.00	+0.00	ns	ceiling	n/a	0.00	64.0	64.0	+0.0	CEILING
s3_words	6	yes	16.667	5	128	17.221	92.10	96.67	5.53	5.80	75.44	80.01	7.90	+4.57	ns	22.18	ns	8.17	115.9	122.9	+7.0	OK
s3_words	6	yes	16.667	5	256	17.060	60.00	65.60	3.60	3.94	43.34	48.94	40.00	+5.60	ns	11.70	ns	12.69	133.1	150.3	+17.2	OK
s3_words	6	yes	16.667	5	512	16.903	38.59	41.31	2.32	2.48	21.92	24.64	61.41	+2.72	ns	3.92	ns	8.18	134.7	151.4	+16.7	OK
s3_words	6	yes	16.667	5	1024	16.833	27.09	28.72	1.63	1.72	10.42	12.06	72.91	+1.64	ns	2.20	ns	3.45	128.1	148.2	+20.1	FLOOR
s3_words	6	yes	16.667	5	2048	16.787	21.96	22.74	1.32	1.36	5.29	6.08	78.04	+0.78	ns	0.99	ns	1.90	130.1	149.4	+19.3	FLOOR
s4_words	24	yes	4.167	5	40	6.260	100.00	100.00	24.00	24.00	95.83	95.83	0.00	+0.00	ns	ceiling	n/a	0.00	40.0	40.0	+0.0	CEILING
s4_words	24	yes	4.167	5	64	5.344	99.94	100.00	23.98	24.00	95.77	95.83	0.06	+0.06	ns	100.00	SIG	0.14	64.0	64.0	+0.0	CEILING
s4_words	24	yes	4.167	5	128	4.846	92.23	97.00	22.14	23.28	88.06	92.84	7.77	+4.77	ns	46.09	ns	6.51	117.6	124.0	+6.4	OK
s4_words	24	yes	4.167	5	256	4.638	61.37	63.82	14.73	15.32	57.20	59.65	38.63	+2.45	ns	5.82	ns	5.97	152.8	159.4	+6.6	OK
s4_words	24	yes	4.167	5	512	4.465	35.18	34.94	8.44	8.39	31.02	30.78	64.82	-0.24	ns	-0.41	ns	2.82	165.7	164.4	-1.3	OK
s4_words	24	yes	4.167	5	1024	4.375	21.35	20.38	5.12	4.89	17.18	16.22	78.65	-0.96	ns	-1.24	ns	1.46	183.6	173.3	-10.3	OK
s4_words	24	yes	4.167	5	2048	4.263	13.05	12.06	3.13	2.89	8.88	7.89	86.95	-0.99	ns	-1.16	ns	1.79	189.8	168.6	-21.1	OK
s5_words	120	NO	0.833	8	40	3.472	91.93	100.00	110.31	120.00	91.10	99.17	8.07	+8.07	SIG	100.00	SIG	3.71	36.7	40.0	+3.3	OK
s5_words	120	NO	0.833	8	64	2.399	64.34	99.96	77.20	119.96	63.50	99.13	35.66	+35.63	SIG	99.89	SIG	4.49	41.0	64.0	+23.0	OK
s5_words	120	NO	0.833	8	128	1.698	32.87	88.60	39.44	106.32	32.03	87.77	67.13	+55.74	SIG	82.98	SIG	8.19	41.3	113.3	+71.9	OK
s5_words	120	NO	0.833	8	256	1.247	16.81	48.12	20.17	57.75	15.97	47.29	83.19	+31.31	SIG	37.62	SIG	5.78	41.2	122.1	+80.8	OK
s5_words	120	NO	0.833	8	512	1.068	8.66	24.51	10.39	29.41	7.83	23.67	91.34	+15.85	SIG	17.35	SIG	3.17	40.4	122.2	+81.8	OK
s5_words	120	NO	0.833	8	1024	0.965	4.84	12.79	5.80	15.35	4.00	11.96	95.16	+7.96	SIG	8.36	SIG	1.62	41.3	123.5	+82.2	OK
s5_words	120	NO	0.833	8	2048	0.934	2.85	6.78	3.41	8.14	2.01	5.95	97.15	+3.93	SIG	4.05	SIG	0.83	41.5	122.8	+81.3	OK
