claim_id	claimed	recomputed	abs_delta	status
S5_acc_R1_len40	91.93	91.9287	0.0013	EXACT
S5_acc_R1_len64	64.34	64.3372	0.0028	EXACT
S5_acc_R1_len128	32.87	32.8674	0.0026	EXACT
S5_acc_R1_len256	16.81	16.8076	0.0024	EXACT
S5_acc_R1_len512	8.66	8.6586	0.0014	EXACT
S5_acc_R1_len1024	4.84	4.8357	0.0043	EXACT
S5_acc_R1_len2048	2.85	2.8451	0.0049	EXACT
S5_acc_R2_len40	99.37	99.3701	0.0001	EXACT
S5_acc_R2_len64	86.53	86.5295	0.0005	EXACT
S5_acc_R2_len128	46.75	46.7529	0.0029	EXACT
S5_acc_R2_len256	23.67	23.6702	0.0002	EXACT
S5_acc_R2_len512	12.23	12.2349	0.0049	EXACT
S5_acc_R2_len1024	6.48	6.4816	0.0016	EXACT
S5_acc_R2_len2048	3.68	3.6797	0.0003	EXACT
S5_acc_R4_len40	100.00	100.0000	0.0000	EXACT
S5_acc_R4_len64	99.96	99.9634	0.0034	EXACT
S5_acc_R4_len128	88.60	88.6032	0.0032	EXACT
S5_acc_R4_len256	48.12	48.1224	0.0024	EXACT
S5_acc_R4_len512	24.51	24.5079	0.0021	EXACT
S5_acc_R4_len1024	12.79	12.7943	0.0043	EXACT
S5_acc_R4_len2048	6.78	6.7799	0.0001	EXACT
S5_R2vs1_len40_verdict	NOT_IN_HANDOFF	7.4414	NA	SIG
S5_R2vs1_len64_verdict	NOT_IN_HANDOFF	22.1924	NA	SIG
S5_R2vs1_len128_verdict	NOT_IN_HANDOFF	13.8855	NA	SIG
S5_R2vs1_len256_verdict	NOT_IN_HANDOFF	6.8626	NA	SIG
S5_R2vs1_len512_verdict	NOT_IN_HANDOFF	3.5763	NA	SIG
S5_R2vs1_len1024_verdict	NOT_IN_HANDOFF	1.6459	NA	SIG
S5_R2vs1_len2048_verdict	NOT_IN_HANDOFF	0.8346	NA	SIG
S5_R4vs1_len40_verdict	NOT_IN_HANDOFF	8.0713	NA	SIG
S5_R4vs1_len64_verdict	NOT_IN_HANDOFF	35.6262	NA	SIG
S5_R4vs1_len128_verdict	NOT_IN_HANDOFF	55.7358	NA	SIG
S5_R4vs1_len256_verdict	NOT_IN_HANDOFF	31.3148	NA	SIG
S5_R4vs1_len512_verdict	NOT_IN_HANDOFF	15.8493	NA	SIG
S5_R4vs1_len1024_verdict	NOT_IN_HANDOFF	7.9586	NA	SIG
