contrast	length_a	length_b	n	pearson_r
interaction	40	64	8	0.9810
interaction	40	128	8	0.3684
interaction	40	256	8	0.4920
interaction	40	512	8	0.4939
interaction	40	1024	8	0.3196
interaction	40	2048	8	0.7902
interaction	64	128	8	0.3882
interaction	64	256	8	0.5693
interaction	64	512	8	0.5235
interaction	64	1024	8	0.3730
interaction	64	2048	8	0.6892
interaction	128	256	8	0.6983
interaction	128	512	8	0.7372
interaction	128	1024	8	0.6660
interaction	128	2048	8	0.2940
interaction	256	512	8	0.9480
interaction	256	1024	8	0.9440
interaction	256	2048	8	0.3840
interaction	512	1024	8	0.9521
interaction	512	2048	8	0.4983
interaction	1024	2048	8	0.3308
S5_R4vs1	40	64	8	0.9811
S5_R4vs1	40	128	8	0.3251
S5_R4vs1	40	256	8	0.1496
S5_R4vs1	40	512	8	0.1366
S5_R4vs1	40	1024	8	0.1445
S5_R4vs1	40	2048	8	0.1488
S5_R4vs1	64	128	8	0.3058
S5_R4vs1	64	256	8	0.1205
S5_R4vs1	64	512	8	0.1007
S5_R4vs1	64	1024	8	0.1140
S5_R4vs1	64	2048	8	0.1100
S5_R4vs1	128	256	8	0.9581
S5_R4vs1	128	512	8	0.9302
S5_R4vs1	128	1024	8	0.9072
S5_R4vs1	128	2048	8	0.9311
S5_R4vs1	256	512	8	0.9861
S5_R4vs1	256	1024	8	0.9797
S5_R4vs1	256	2048	8	0.9940
S5_R4vs1	512	1024	8	0.9802
S5_R4vs1	512	2048	8	0.9894
S5_R4vs1	1024	2048	8	0.9924
#--- effective number of independent tests across the 7 lengths ---
contrast	mean_abs_r	mean_r	eig_spectrum	n_eff_cheverud	n_eff_participation
interaction	0.5924	0.5924	4.594|1.566|0.424|0.362|0.030|0.022|0.002	4.93	2.05
S5_R4vs1	0.5850	0.5850	4.952|1.922|0.084|0.021|0.015|0.005|0.000	4.40	1.74
