#Empirical between-seed spread of probe accuracy (the operative noise floor).
#Source: probes/results/all_night/*.json; computed on FarmShare (CPU).
#Within-run binomial SE is ~0.05pp at L=2048 and is negligible by comparison.
task	R	n_layers	eval_len	n	mean	sd	sem	min	max	range	sd_over_mean
parity	1	3	128	8	0.96811	0.02413	0.00853	0.93701	1.00000	0.06299	0.025
parity	1	3	2048	8	0.54547	0.01664	0.00588	0.52689	0.57222	0.04533	0.031
parity	2	3	128	8	0.96204	0.01890	0.00668	0.93799	0.99341	0.05542	0.020
parity	2	3	2048	8	0.52926	0.00480	0.00170	0.52379	0.53752	0.01373	0.009
parity	4	3	128	8	0.94394	0.04324	0.01529	0.85913	0.99597	0.13684	0.046
parity	4	3	2048	8	0.53393	0.01480	0.00523	0.51265	0.56026	0.04761	0.028
s3_words	1	3	128	5	0.92102	0.04010	0.01793	0.88037	0.96936	0.08899	0.044
s3_words	1	3	2048	5	0.21960	0.00804	0.00360	0.20817	0.22932	0.02116	0.037
s3_words	4	3	128	5	0.96675	0.02906	0.01299	0.92090	0.99707	0.07617	0.030
s3_words	4	3	2048	5	0.22744	0.01006	0.00450	0.21408	0.24219	0.02811	0.044
s4_words	1	3	128	5	0.92231	0.04168	0.01864	0.86450	0.96960	0.10510	0.045
s4_words	1	3	2048	5	0.13047	0.01741	0.00779	0.11304	0.15707	0.04402	0.133
s4_words	4	3	128	5	0.97002	0.01761	0.00788	0.94312	0.99207	0.04895	0.018
s4_words	4	3	2048	5	0.12057	0.00745	0.00333	0.11275	0.13001	0.01726	0.062
s5_words	1	1	128	5	0.12395	0.00451	0.00202	0.11743	0.12830	0.01086	0.036
s5_words	1	1	2048	5	0.01524	0.00044	0.00020	0.01483	0.01587	0.00104	0.029
s5_words	4	1	128	5	0.80496	0.10723	0.04795	0.67249	0.90918	0.23669	0.133
s5_words	4	1	2048	5	0.06228	0.01004	0.00449	0.05021	0.07178	0.02157	0.161
s5_words	1	2	128	5	0.24639	0.00657	0.00294	0.23633	0.25464	0.01831	0.027
s5_words	1	2	2048	5	0.02290	0.00048	0.00022	0.02215	0.02338	0.00124	0.021
s5_words	4	2	128	5	0.77437	0.22779	0.10187	0.37451	0.93408	0.55957	0.294
s5_words	4	2	2048	5	0.05884	0.01701	0.00761	0.02943	0.07273	0.04330	0.289
s5_words	1	3	128	8	0.32867	0.02998	0.01060	0.29065	0.36438	0.07373	0.091
s5_words	1	3	2048	8	0.02845	0.00177	0.00062	0.02612	0.03056	0.00444	0.062
s5_words	2	3	128	8	0.46753	0.03980	0.01407	0.37878	0.50305	0.12427	0.085
s5_words	2	3	2048	8	0.03680	0.00249	0.00088	0.03158	0.03925	0.00767	0.068
s5_words	4	3	128	8	0.88603	0.09213	0.03257	0.68262	0.96069	0.27808	0.104
s5_words	4	3	2048	8	0.06780	0.00995	0.00352	0.04975	0.07858	0.02883	0.147
s5_words	1	4	128	5	0.37559	0.03171	0.01418	0.32776	0.40649	0.07874	0.084
s5_words	1	4	2048	5	0.03107	0.00188	0.00084	0.02822	0.03299	0.00477	0.061
s5_words	4	4	128	5	0.86040	0.08126	0.03634	0.76453	0.92896	0.16443	0.094
s5_words	4	4	2048	5	0.06418	0.00654	0.00293	0.05511	0.06896	0.01385	0.102
PAIRED	R4-vs-R1	TESTS	across	every	(task,	n_layers)	cell	that	has	BOTH	arms
task	L	evallen	npair	R1mean	R4mean	diff	sd_diff	t	all_same_sign
parity	3	128	8	0.96811	0.94394	-0.02417	0.04396	-1.56	False
parity	3	512	8	0.66881	0.64782	-0.02099	0.06808	-0.87	False
parity	3	2048	8	0.54547	0.53393	-0.01154	0.01641	-1.99	False
s3_words	3	128	5	0.92102	0.96675	+0.04573	0.06582	1.55	False
s3_words	3	512	5	0.38591	0.41309	+0.02719	0.06590	0.92	False
