task	solvable	length	n	r1_mean_acc_pp	r4_mean_acc_pp	effect_pp	sd_pp	ci_lo	ci_hi	dz	t	p	verdict	author_verdict	seeds
parity	yes	40	8	100.0000	100.0000	0.0000	0.0000	0.0000	0.0000	NA	NA	1.000e+00	ns_IDENTICAL	ns	0,1,2,3,4,5,6,7
parity	yes	64	8	100.0000	99.9969	-0.0031	0.0086	-0.0103	0.0042	-0.3536	-1.0000	3.506e-01	ns	ns	0,1,2,3,4,5,6,7
parity	yes	128	8	96.8109	94.3939	-2.4170	4.3959	-6.0920	1.2580	-0.5498	-1.5552	1.639e-01	ns	ns	0,1,2,3,4,5,6,7
parity	yes	256	8	79.8546	77.2202	-2.6344	9.3050	-10.4136	5.1447	-0.2831	-0.8008	4.496e-01	ns	ns	0,1,2,3,4,5,6,7
parity	yes	512	8	66.8808	64.7816	-2.0992	6.8083	-7.7911	3.5927	-0.3083	-0.8721	4.121e-01	ns	ns	0,1,2,3,4,5,6,7
parity	yes	1024	8	58.0008	57.2115	-0.7893	3.7694	-3.9405	2.3620	-0.2094	-0.5922	5.723e-01	ns	ns	0,1,2,3,4,5,6,7
parity	yes	2048	8	54.5473	53.3935	-1.1539	1.6413	-2.5261	0.2184	-0.7030	-1.9884	8.710e-02	ns	ns	0,1,2,3,4,5,6,7
s3_words	yes	40	5	100.0000	100.0000	0.0000	0.0000	0.0000	0.0000	NA	NA	1.000e+00	ns_IDENTICAL	ns	0,1,2,3,4
s3_words	yes	64	5	100.0000	100.0000	0.0000	0.0000	0.0000	0.0000	NA	NA	1.000e+00	ns_IDENTICAL	ns	0,1,2,3,4
s3_words	yes	128	5	92.1021	96.6748	4.5728	6.5820	-3.5999	12.7454	0.6947	1.5535	1.953e-01	ns	ns	0,1,2,3,4
s3_words	yes	256	5	60.0024	65.6042	5.6018	10.2233	-7.0921	18.2958	0.5479	1.2252	2.877e-01	ns	ns	0,1,2,3,4
s3_words	yes	512	5	38.5907	41.3092	2.7185	6.5897	-5.4636	10.9006	0.4125	0.9225	4.085e-01	ns	ns	0,1,2,3,4
s3_words	yes	1024	5	27.0877	28.7231	1.6354	2.7752	-1.8104	5.0813	0.5893	1.3177	2.580e-01	ns	ns	0,1,2,3,4
s3_words	yes	2048	5	21.9604	22.7441	0.7837	1.5316	-1.1180	2.6854	0.5117	1.1441	3.164e-01	ns	ns	0,1,2,3,4
s4_words	yes	40	5	100.0000	100.0000	0.0000	0.0000	0.0000	0.0000	NA	NA	1.000e+00	ns_IDENTICAL	ns	0,1,2,3,4
s4_words	yes	64	5	99.9365	100.0000	0.0635	0.1166	-0.0813	0.2082	0.5445	1.2176	2.903e-01	ns	ns	0,1,2,3,4
s4_words	yes	128	5	92.2314	97.0020	4.7705	5.2460	-1.7432	11.2843	0.9094	2.0334	1.118e-01	ns	ns	0,1,2,3,4
s4_words	yes	256	5	61.3660	63.8196	2.4536	4.8107	-3.5197	8.4269	0.5100	1.1405	3.177e-01	ns	ns	0,1,2,3,4
s4_words	yes	512	5	35.1831	34.9420	-0.2411	2.2690	-3.0585	2.5763	-0.1063	-0.2376	8.239e-01	ns	ns	0,1,2,3,4
s4_words	yes	1024	5	21.3477	20.3842	-0.9634	1.1720	-2.4187	0.4918	-0.8220	-1.8381	1.399e-01	ns	ns	0,1,2,3,4
s4_words	yes	2048	5	13.0469	12.0573	-0.9895	1.4421	-2.7802	0.8011	-0.6862	-1.5343	1.997e-01	ns	ns	0,1,2,3,4
s5_words	NO	40	8	91.9287	100.0000	8.0713	4.4386	4.3606	11.7820	1.8184	5.1433	1.334e-03	SIG	SIG	0,1,2,3,4,5,6,7
s5_words	NO	64	8	64.3372	99.9634	35.6262	5.3663	31.1399	40.1125	6.6389	18.7777	3.018e-07	SIG	SIG	0,1,2,3,4,5,6,7
s5_words	NO	128	8	32.8674	88.6032	55.7358	9.7986	47.5439	63.9276	5.6881	16.0884	8.712e-07	SIG	SIG	0,1,2,3,4,5,6,7
s5_words	NO	256	8	16.8076	48.1224	31.3148	6.9112	25.5369	37.0928	4.5310	12.8156	4.085e-06	SIG	SIG	0,1,2,3,4,5,6,7
s5_words	NO	512	8	8.6586	24.5079	15.8493	3.7897	12.6810	19.0176	4.1822	11.8291	7.001e-06	SIG	SIG	0,1,2,3,4,5,6,7
s5_words	NO	1024	8	4.8357	12.7943	7.9586	1.9372	6.3391	9.5781	4.1083	11.6200	7.889e-06	SIG	SIG	0,1,2,3,4,5,6,7
s5_words	NO	2048	8	2.8451	6.7799	3.9348	0.9878	3.1089	4.7606	3.9834	11.2667	9.697e-06	SIG	SIG	0,1,2,3,4,5,6,7
